ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Genre,Country,Language,IMDb,IMDb_ID,RottenTomatoes_Score,Age_Min,IMDb_Score,Type_raw,Genre_clean,Title_key
54,American Factory,2019,13+,86/100,1,0,0,0,movie,Documentary,United States,"English, Mandarin",7.4,tt9351980,86.0,13.0,7.4,0,Documentary,american factory
55,Bird Box,2018,18+,86/100,1,0,0,0,movie,"Horror, Mystery, Sci-Fi",United States,English,6.6,tt2737304,86.0,18.0,6.6,0,"Horror, Mystery, Sci-Fi",bird box
56,The Pianist,2002,18+,86/100,1,0,0,0,movie,"Biography, Drama, Music","France, Poland, Germany, United Kingdom, United States","English, German, Russian",8.5,tt0253474,86.0,18.0,8.5,0,"Biography, Drama, Music",the pianist
57,3 Idiots,2009,13+,86/100,1,0,0,0,movie,"Comedy, Drama",India,"Hindi, English",8.4,tt1187043,86.0,13.0,8.4,0,"Comedy, Drama",3 idiots
58,The Distinguished Citizen,2016,18+,86/100,1,0,0,0,movie,"Comedy, Drama","Argentina, Spain",Spanish,7.5,tt4562518,86.0,16.0,7.5,0,"Comedy, Drama",the distinguished citizen
59,A Shaun the Sheep Movie: Farmageddon,2019,all,86/100,1,0,0,0,movie,"Animation, Adventure, Comedy","United Kingdom, France",English,6.8,tt6193408,86.0,16.0,6.8,0,"Animation, Adventure, Comedy",a shaun the sheep movie: farmageddon
60,A Clockwork Orange,1971,18+,86/100,1,0,0,0,movie,"Crime, Sci-Fi","United Kingdom, United States",English,8.2,tt0066921,86.0,18.0,8.2,0,"Crime, Sci-Fi",a clockwork orange
61,What Happened to Monday,2017,18+,86/100,1,0,0,0,movie,"Action, Crime, Fantasy","United Kingdom, France, United States, Belgium",English,6.8,tt1536537,86.0,18.0,6.8,0,"Action, Crime, Fantasy",what happened to monday
62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86/100,1,0,0,0,movie,Comedy,United States,English,7.7,tt5087554,86.0,18.0,7.7,0,Comedy,anthony jeselnik: thoughts and prayers
63,The White Helmets,2016,16+,86/100,1,0,0,0,movie,"Documentary, Short, War",United Kingdom,"Arabic, English",7.5,tt6073176,86.0,16.0,7.5,0,"Documentary, Short, War",the white helmets
64,Invader ZIM: Enter the Florpus,2019,7+,86/100,1,0,0,0,movie,"Animation, Action, Adventure","South Korea, United States","English, Korean",7.4,tt6739094,86.0,7.0,7.4,0,"Animation, Action, Adventure",invader zim: enter the florpus
65,Happy as Lazzaro,2018,13+,85/100,1,0,0,0,movie,"Drama, Fantasy, Mystery","Italy, Switzerland, France, Germany",Italian,7.5,tt6752992,85.0,13.0,7.5,0,"Drama, Fantasy, Mystery",happy as lazzaro
66,Chasing Coral,2017,18+,85/100,1,0,0,0,movie,Documentary,United States,English,8.0,tt6333054,85.0,16.0,8.0,0,Documentary,chasing coral
67,Kal Ho Naa Ho,2003,all,85/100,1,0,0,0,movie,"Comedy, Drama, Musical",India,"Hindi, English",7.9,tt0347304,85.0,16.0,7.9,0,"Comedy, Drama, Musical",kal ho naa ho
68,Pan's Labyrinth,2006,18+,85/100,1,0,0,0,movie,"Drama, Fantasy, War","Mexico, Spain",Spanish,8.2,tt0457430,85.0,18.0,8.2,0,"Drama, Fantasy, War",pan's labyrinth
69,Team Foxcatcher,2016,16+,85/100,1,0,0,0,movie,"Documentary, Biography, Crime",United States,English,7.2,tt5598216,85.0,16.0,7.2,0,"Documentary, Biography, Crime",team foxcatcher
70,The Meyerowitz Stories (New and Selected),2017,18+,85/100,1,0,0,0,movie,comedy drama,United States,English,6.9,tt5536736,85.0,18.0,6.9,0,Comedy Drama,the meyerowitz stories (new and selected)
71,Casino Royale,2006,13+,85/100,1,0,0,0,movie,"Action, Adventure, Thriller","United States, United Kingdom, Czech Republic, Germany, Bahamas, Italy","English, Serbian, German, Italian, French",8.0,tt0381061,85.0,13.0,8.0,0,"Action, Adventure, Thriller",casino royale
72,The Hateful Eight,2015,18+,85/100,1,0,0,0,movie,"Crime, Drama, Mystery",United States,"English, Spanish, French, Persian",7.8,tt3460252,85.0,18.0,7.8,0,"Crime, Drama, Mystery",the hateful eight
73,Rush,2013,18+,84/100,1,0,0,0,movie,"Biography, Drama, Sport","United Kingdom, United States","English, German, Italian, French, Japanese, Spanish",8.1,tt1979320,84.0,18.0,8.1,0,"Biography, Drama, Sport",rush
74,Zombieland,2009,18+,84/100,1,0,0,0,movie,"Action, Comedy, Horror",United States,"English, Spanish, French",7.5,tt1156398,84.0,18.0,7.5,0,"Action, Comedy, Horror",zombieland
75,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84/100,1,0,0,0,movie,"Comedy, Music","United States, Iceland, Canada","English, Icelandic, Portuguese, French",6.5,tt8580274,84.0,13.0,6.5,0,"Comedy, Music",eurovision song contest: the story of fire saga
76,Kapoor & Sons,2016,13+,84/100,1,0,0,0,movie,"Comedy, Crime, Drama",India,Hindi,7.7,tt4900716,84.0,13.0,7.7,0,"Comedy, Crime, Drama",kapoor & sons
77,The Perfection,2018,18+,84/100,1,0,0,0,movie,"Drama, Horror, Thriller","United States, Canada","English, Mandarin",6.2,tt7772580,84.0,18.0,6.2,0,"Drama, Horror, Thriller",the perfection
78,Dave Chappelle: Sticks & Stones,2019,18+,84/100,1,0,0,0,movie,Comedy,United States,English,8.3,tt10810424,84.0,18.0,8.3,0,Comedy,dave chappelle: sticks & stones
79,There Will Be Blood,2007,18+,84/100,1,0,0,0,movie,Drama,United States,"English, American Sign",8.2,tt0469494,84.0,18.0,8.2,0,Drama,there will be blood
80,Million Dollar Baby,2004,13+,84/100,1,0,0,0,movie,"Drama, Sport",United States,"English, Irish Gaelic, German",8.1,tt0405159,84.0,13.0,8.1,0,"Drama, Sport",million dollar baby
81,The Social Network,2010,13+,84/100,1,1,0,0,movie,"Biography, Drama",United States,"English, French",7.8,tt1285016,84.0,13.0,7.8,0,"Biography, Drama",the social network
82,The Christmas Chronicles,2018,7+,84/100,1,0,0,0,movie,"Adventure, Comedy, Family",United States,"English, Spanish, French, Romanian",7.0,tt2990140,84.0,7.0,7.0,0,"Adventure, Comedy, Family",the christmas chronicles
83,Monty Python and the Holy Grail,1975,7+,84/100,1,0,0,0,movie,"Adventure, Comedy, Fantasy",United Kingdom,"English, French, Latin, Swedish",8.2,tt0071853,84.0,7.0,8.2,0,"Adventure, Comedy, Fantasy",monty python and the holy grail
84,The Pixar Story,2007,all,84/100,1,0,0,0,movie,Documentary,United States,English,7.7,tt1059955,84.0,16.0,7.7,0,Documentary,the pixar story
85,Ma Rainey's Black Bottom,2020,18+,84/100,1,0,0,0,movie,"Drama, Music",United States,English,6.9,tt10514222,84.0,18.0,6.9,0,"Drama, Music",ma rainey's black bottom
86,Calibre,2018,18+,84/100,1,0,0,0,movie,"Drama, Thriller",United Kingdom,English,6.8,tt6218358,84.0,18.0,6.8,0,"Drama, Thriller",calibre
87,Silver Linings Playbook,2012,18+,84/100,1,0,0,0,movie,"Comedy, Drama, Romance",United States,"English, Hindi",7.7,tt1045658,84.0,18.0,7.7,0,"Comedy, Drama, Romance",silver linings playbook
